4100018,2812
13300474,2809
4101588,2801
13400924,2793
14109603,2786
5000017,2783
2020009,2772
2900084,2771
2016192,2767
13401319,2766
4126025,2764
4116992,2758
14100010,2757
4102142,2747
703303,2744
8602883,2743
2000024,2741
2805677,2739
13400630,2737
4122356,2734
14103320,2733
400041,2727
4158814,2727
24116068,2727
3503240,2723
4147235,2722
623539,2722
12401137,2717
4152956,2712
14200244,2709
4120787,2709
4168119,2708
14109530,2707
3503739,2707
8603677,2707
608742,2706
4650891,2706
309095,2706
8601429,2706
605506,2705
5007003,2705
4125029,2705
13300032,2704
14102951,2703
14102560,2703
2905540,2702
13601520,2702
14107090,2702
2209390,2700
1118358,2700
14105730,2698
404853,2698
14107201,2697
400025,2697
700070,2696
4138147,2695
310204,2695
2205530,2694
4129199,2693
702293,2689
4162722,2688
4115309,2688
8604436,2686
1000268,2684
13900048,2681
1202758,2677
4121830,2676
8603820,2675
718572,2674
14200937,2674
702218,2674
316385,2674
2802007,2671
633429,2670
14109182,2668
13300881,2666
4131061,2665
4100140,2663
13301527,2663
14101025,2663
13301616,2663
1610856,2663
5004985,2663
2801990,2663
8601445,2662
13401653,2662
4151348,2660
600016,2658
4113403,2658
2900017,2657
4189302,2657
13502956,2656
3901211,2655
4100107,2654
409561,2654
1400355,2654
738590,2654
1116207,2653
912417,2653
4168003,2653
5016690,2653
14102536,2652
14200988,2652
11600454,2652
4119150,2652
4675789,2652
1107038,2651
1008013,2650
4142527,2649
718939,2648
1200372,2648
4132181,2648
400173,2647
4157770,2646
8601160,2646
13402129,2644
4100069,2644
1304364,2643
14400030,2643
4101685,2642
10601457,2641
4132394,2641
4150120,2641
4142578,2640
1113100,2640
13600966,2640
2806851,2639
4198603,2639
1007246,2639
410608,2638
4659600,2638
13601326,2637
14602377,2637
2804344,2635
719978,2634
3800024,2634
1007998,2634
13302485,2634
4118987,2634
105309,2632
618438,2632
1203975,2632
603767,2631
1503707,2631
12401110,2631
12800023,2631
14502569,2631
8602956,2631
14118084,2630
13700464,2629
1111914,2628
5004225,2628
4123425,2628
300071,2627
4201345,2627
4170350,2627
13501470,2626
4120426,2626
1207822,2626
14102595,2626
921629,2626
1000055,2624
4160258,2623
5002150,2623
13401378,2623
2804158,2623
2900394,2622
1006673,2622
1126881,2622
4625498,2621
2200015,2620
2000032,2620
1112635,2619
1400010,2619
14112906,2619
2101246,2618
2023970,2618
4138716,2617
8602980,2617
14603853,2617
13300580,2616
14700077,2616
14107180,2616
13302191,2616
4100026,2616
14502879,2616
14508150,2616
4140419,2616
2805642,2615
715620,2614
24126055,2614
4100115,2614
14116804,2614
4653530,2613
921637,2613
4667719,2612
4162714,2612
2004887,2612
4500016,2611
930849,2611
4115341,2611
1112953,2610
14113007,2610
4202031,2609
400076,2609
4156803,2609
13302000,2608
1104306,2608
4202694,2608
3504409,2608
14113171,2608
13302507,2607
8603537,2607
14102196,2606
114987,2606
2100010,2606
4148843,2606
2100789,2606
14109409,2605
13500139,2604
2107139,2604
503142,2604
1301837,2604
14109158,2604
4147332,2604
13301578,2603
