qid,P1087,qal585,S813,S854,S1440
Q238810,2490,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2902257
Q435122,2104,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,302538
Q227082,2397,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4671660
Q2805883,2381,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,505455
Q27525922,2434,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5105048
Q63332,2465,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000578
Q27524077,2374,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,105040
Q276708,2430,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200038
Q275873,2278,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13601105
Q265770,2405,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2005956
Q1981705,2427,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,203866
Q262251,2284,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2806819
Q11866980,2052,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,500267
Q249547,2481,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,708003
Q2524265,2619,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,719978
Q27524389,2386,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100404
Q1961002,2461,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101966
Q11717984,2310,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1101170
Q287556,2241,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1102575
Q27533901,2481,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,113433
Q16367705,2240,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13400029
Q4317800,2448,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13700030
Q27525506,2355,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001241
Q27534022,2323,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2006340
Q27527590,2316,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2007177
Q30251579,2200,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,200972
Q27528636,2375,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400440
Q4492710,2188,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,401226
Q6272449,2116,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,408077
Q28480824,2090,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4608836
Q27529915,2434,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,501832
Q27528556,2391,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,610070
Q27598325,2097,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,704440
Q278844,2398,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,900095
Q28481081,2167,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,933171
Q943533,2624,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000055
Q27527847,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100803
Q2367831,2280,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000225
Q27533749,2411,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,106569
Q27526788,2365,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,706035
Q28481122,2009,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,910651
Q27597749,2176,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,111805
Q27523610,2425,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100080
Q27525276,2305,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000993
Q293409,2438,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100153
Q30309488,2200,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101044
Q27528460,2440,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,103055
Q4909169,2330,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001462
Q12823,2577,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,700088
Q27524219,2340,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100102
Q27522928,2315,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1209256
Q28479108,1962,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1212524
Q27533353,2335,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001381
Q27527403,2329,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,408093
Q27525003,2424,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4693922
Q20437050,2097,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,703834
Q1453906,2166,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,904562
Q27525553,2386,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100277
Q27527453,2303,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,110655
Q4066575,2429,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14000032
Q30310072,2216,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14000407
Q28479370,2107,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14200694
Q28479837,2182,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,24128511
Q358103,2442,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2800659
Q2249476,2443,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5000025
Q3932498,2550,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,108820
Q27533032,2318,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2024209
Q9184712,2488,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3600017
Q7615929,2013,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,405256
Q27533220,2377,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4125681
Q64754,2537,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600193
Q74845,2450,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4609352
Q63303,2312,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611284
Q27526062,2373,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,916080
Q2003785,2129,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1002627
Q27524539,2401,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1036564
Q93762,2457,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10600140
Q93674,2679,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10601457
Q93883,2631,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10601619
Q9281960,2330,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100505
Q27529809,2400,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,117234
Q27534454,2360,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2003015
Q4070079,1731,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,34137073
Q28479902,2113,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3506720
Q98877,2538,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4128737
Q92207,2547,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600118
