qid,P1087,qal585,S813,S854,S1440
Q27523889,2317,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,401706
Q28479917,2041,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,405809
Q28479923,2170,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4113004
Q28479909,2175,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4115406
Q28479914,2147,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4123107
Q28479939,2257,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4123417
Q28480101,2121,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4130596
Q28480120,2136,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4132254
Q28480113,2128,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4132416
Q28480110,2034,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4134664
Q28480123,2127,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4136152
Q28480090,2038,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4137566
Q28480094,2249,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4141865
Q28480117,2157,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4142691
Q28480121,2026,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4143299
Q28480099,2112,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4144724
Q28480081,2232,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4149068
Q28480006,2173,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4150651
Q28479961,2134,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4152662
Q28479983,2124,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4153871
Q28480007,2111,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4154614
Q28480643,1875,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4163222
Q28480660,2121,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4172744
Q28480666,1930,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4172892
Q28480635,2100,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4175050
Q28480642,2030,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4175522
Q28480636,2095,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4176731
Q28480647,2068,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4177479
Q28480631,2186,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4179242
Q28480669,2172,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4180070
Q28480170,2104,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4182472
Q28480171,2065,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4186257
Q28480155,2120,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4189868
Q28480132,2049,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4197135
Q28480844,1916,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4198662
Q28480819,2044,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4199650
Q28480817,2052,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4200969
Q28480799,1956,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4215370
Q28480815,1898,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4302257
Q28480852,1774,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4302605
Q28480840,2024,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4401697
Q28480842,2041,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4401913
Q28480825,2106,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4608666
Q28480849,2210,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4612477
Q28480807,2019,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4612604
Q28480211,2019,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4628691
Q28480217,2074,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4632621
Q28480232,2060,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4644875
Q28480219,2099,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4664590
Q28480207,2110,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4682157
Q28480191,2189,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4900260
Q28480213,1995,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4901070
Q28480186,2035,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4901339
Q28480689,1517,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5001838
Q28480692,2172,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5024552
Q28480726,2102,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5205204
Q28480709,1980,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5206880
Q28480262,1754,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5501040
Q28480243,1996,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5702712
Q28480254,1936,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,614947
Q28480279,1950,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6300278
Q28480246,2033,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6302947
Q28481058,2051,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6505090
Q28481016,1948,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6600336
Q28481050,1772,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6702392
Q28481047,2096,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,704407
Q28481034,2112,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,7101066
Q27528958,2411,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13701797
Q27559905,2120,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13702114
Q4181620,2594,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13702661
Q28479529,2176,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13703480
Q7492278,2488,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13703544
Q27525979,2312,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13703560
Q27597775,2301,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13703595
Q27522884,2418,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13703706
Q27518362,2360,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1701991
Q27533135,2293,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1710729
Q27534168,2255,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1800043
Q16217499,2385,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2008742
Q27525598,2471,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2044676
Q27525412,2434,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2221667
Q28479597,1825,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2402114
Q27532196,2437,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2613190
Q28479881,2144,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,345563
Q27524994,2438,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3802299
Q27524742,2408,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4121996
Q27531897,2330,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4162889
Q28480650,2103,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4168810
Q27523982,2437,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,650234
Q27524450,2292,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,702838
Q27579425,2222,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,805394
Q27523693,2349,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,915700
Q27524225,2322,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,916552
Q27524866,2345,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1007076
Q27525882,2296,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1028103
Q27529789,2468,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,109746
Q326862,2460,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100106
Q27533436,2320,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1109030
Q27532716,2386,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1112236
Q961090,2620,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1113100
Q27525552,2315,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1115499
Q11736982,2172,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1115774
Q28478794,2126,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1117335
Q27529031,2351,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200216
Q27580117,2036,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200470
Q28478826,2075,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200518
Q27580146,2018,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200690
Q276822,2494,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1201530
Q28470758,2105,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1201670
Q27580134,2288,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1202499
Q27532976,2451,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1202600
Q27524223,2444,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1203509
Q1715662,2645,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1204297
Q11780560,2248,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1204327
Q9140869,2213,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1206435
Q30309788,2337,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1232622
Q27528788,2389,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13000110
Q55773992,2227,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13000322
Q356004,2502,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1613782
Q27526191,2300,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1800116
Q27530660,2372,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000725
Q27523207,2383,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2230208
Q30309786,2280,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2600447
Q1922932,2298,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2802015
Q27579916,2234,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2900505
Q27524549,2294,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2901315
Q27579874,2249,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2901722
Q27534548,2410,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3400581
Q15310325,2350,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4104994
Q30309402,2241,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4420055
Q28480809,1726,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4421434
Q27530267,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611675
Q27530863,2379,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,608688
Q27534536,2337,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,900729
Q27530748,2361,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,900850
Q27533191,2326,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,901237
Q27523171,2436,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,901679
Q27534015,2402,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,901890
Q27528946,2356,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,901970
Q27524579,2403,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,902098
Q27579375,2288,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,902616
Q27598429,2174,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,933988
Q27526585,2388,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,934054
Q1439516,2430,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100092
Q4385086,2383,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100149
Q4057362,2217,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100190
Q27525324,2331,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100360
Q27525463,2350,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100408
Q27532983,2305,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1101307
Q10860688,2386,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1101463
Q27523457,2307,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1101811
Q504267,2453,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1102222
Q11768359,2399,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1102877
Q9178426,2175,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1102907
Q27524617,2370,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1210750
Q27523611,2344,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1300318
Q27526921,2379,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1304992
Q27523750,2289,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1402366
Q27533063,2309,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2600250
Q27579897,2207,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2601079
Q27597909,2088,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2602164
Q27525832,2305,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2602270
Q5993872,2447,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2602288
Q27525337,2349,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2602652
Q27524550,2375,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2900408
Q27525935,2437,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3204731
Q27523487,2319,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3200655
Q27526368,2394,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3200809
Q27526510,2341,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4144694
Q541305,2278,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,12801496
Q1266603,2544,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2008564
Q27526049,2333,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4645847
Q28479984,2204,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4158059
Q27526358,2280,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4169018
Q27579622,2334,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5009847
Q27527822,2299,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,24146501
Q28479995,2082,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4155645
Q9148369,2037,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1112988
Q27533423,2408,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,24115533
Q1370851,2541,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4162714
Q1350057,2566,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,7100019
Q28479432,2149,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2020890
Q27534561,2398,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2807670
Q27579803,2031,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3902331
Q30309461,2290,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4801849
Q27531963,2459,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,24102580
Q28480251,1687,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,6380719
Q27527196,2309,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14123924
Q2333167,2480,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14500124
Q2634340,2529,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2900130
Q2083177,2310,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000390
Q172798,2747,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2900084
Q27523354,2302,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4140710
Q27598253,2106,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5014034
Q27526298,2320,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1100300
Q27580158,2289,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100307
Q2177628,1775,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004593
Q28480329,1704,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3617980
Q27526472,2324,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,502065
Q27532847,2469,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,22275991
Q27529811,2322,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3510425
Q28480834,1962,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4400690
Q28480836,1971,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4402081
Q27530204,2432,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8601640
Q27579789,2270,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3901726
Q27529014,2349,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4122216
Q2261396,2258,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4141296
Q27528312,2389,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4145461
Q27524460,2400,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4149610
Q28480813,1869,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4406257
Q27533398,2373,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2900831
Q27527227,2407,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4157931
Q103301,2324,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600185
Q27525736,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600517
Q1506014,2273,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4604237
Q27529844,2310,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4604512
Q495898,2192,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4605314
Q27528692,2387,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611527
Q28480841,2133,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4612809
Q27527831,2363,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4615310
Q27530896,2417,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2039877
Q28480162,2183,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4184696
Q27533850,2304,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,203254
Q19300207,2098,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2258196
Q28480226,2150,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4683137
Q28480244,1595,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5501628
Q27522885,2344,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4150228
Q27527283,2456,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4500300
Q27530040,2389,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5009120
Q27534052,2338,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,318396
Q27525745,2354,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4626664
Q28479414,2036,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1909436
Q27579858,2279,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300292
Q28479769,2100,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,302589
Q27526912,2382,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,304875
Q27523919,2329,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,305235
Q1909813,2149,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4645626
Q27524154,2367,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8600767
Q27526597,2317,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,307548
Q434964,2402,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,308498
Q27526930,2376,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,316199
Q523375,2175,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,318779
Q27527011,2424,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10600426
Q27527199,2358,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400610
Q27524344,2410,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2100061
Q18355689,2007,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10615873
Q1124073,2303,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4610628
Q30309472,2271,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8500282
Q27525920,2342,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13600281
Q28481106,2145,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8600805
Q28481136,2247,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8606137
Q500436,2656,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5016690
Q27525633,2407,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14901943
Q795182,2671,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5018471
Q28058362,2082,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,8800090
Q27531728,2315,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001861
Q73636,2421,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1003143
Q27529803,2263,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2229277
Q299636,2706,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400041
Q11778351,2391,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400858
Q2392158,2609,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,813192
Q21101760,2180,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004518
Q27597934,2090,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004577
Q27523074,2336,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,402141
Q28480298,2090,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,402605
Q4470100,2457,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,404454
Q27522969,2455,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4157427
Q28479964,2121,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4157494
Q28479978,2227,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4158067
Q28479962,2208,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4159322
Q27525346,2420,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4161203
Q27530687,2492,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4162080
Q1356780,2684,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4162722
Q27534508,2356,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4163036
Q1751099,2069,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1305034
